fare_category,zones,Day off-peak,7 Day,Monthly,Annual
1,Zone 1 only,£14.40 ,£38.40 ,£147.50 ,"£1,536.00 "
2,Zones 1-2,£14.40 ,£38.40 ,£147.50 ,"£1,536.00 "
3,Zones 1-3,£14.40 ,£45.20 ,£173.60 ,"£1,808.00 "
4,Zones 1-4,£14.40 ,£55.20 ,£212.00 ,"£2,208.00 "
5,Zones 1-5,£14.40 ,£65.70 ,£252.30 ,"£2,628.00 "
6,Zones 1-6,£14.40 ,£70.30 ,£270.00 ,"£2,812.00 "
7,Zones 1-7,£15.30 ,£76.50 ,£293.80 ,"£3,060.00 "
8,Zones 1-8,£15.30 ,£90.30 ,£346.80 ,"£3,612.00 "
9,Zones 1-9,£15.30 ,£100.20 ,£384.80 ,"£4,008.00 "
10,Zone 2 only,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
11,Zones 2-3,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
12,Zones 2-4,£14.40 ,£31.90 ,£122.50 ,"£1,276.00 "
13,Zones 2-5,£14.40 ,£38.20 ,£146.70 ,"£1,528.00 "
14,Zones 2-6,£14.40 ,£48.10 ,£184.80 ,"£1,924.00 "
15,Zones 2-7,£15.30 ,£49.90 ,£191.70 ,"£1,996.00 "
16,Zones 2-8,£15.30 ,£67.90 ,£260.80 ,"£2,716.00 "
17,Zones 2-9,£15.30 ,£67.90 ,£260.80 ,"£2,716.00 "
18,Zone 3 only,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
19,Zones 3-4,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
20,Zones 3-5,£14.40 ,£31.90 ,£122.50 ,"£1,276.00 "
21,Zones 3-6,£14.40 ,£38.20 ,£146.70 ,"£1,528.00 "
22,Zones 3-7,£15.30 ,£49.90 ,£191.70 ,"£1,996.00 "
23,Zones 3-8,£15.30 ,£67.90 ,£260.80 ,"£2,716.00 "
24,Zones 3-9,£15.30 ,£67.90 ,£260.80 ,"£2,716.00 "
25,Zone 4 only,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
26,Zones 4-5,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
27,Zones 4-6,£14.40 ,£31.90 ,£122.50 ,"£1,276.00 "
28,Zones 4-7,£15.30 ,£36.10 ,£138.70 ,"£1,444.00 "
29,Zones 4-8,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
30,Zones 4-9,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
31,Zone 5 only,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
32,Zones 5-6,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
33,Zones 5-7,£15.30 ,£36.10 ,£138.70 ,"£1,444.00 "
34,Zones 5-8,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
35,Zones 5-9,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
36,Zone 6 only,£14.40 ,£28.80 ,£110.60 ,"£1,152.00 "
37,Zones 6-7,£15.30 ,£36.10 ,£138.70 ,"£1,444.00 "
38,Zones 6-8,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
39,Zones 6-9,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
40,Zone 7 only,£15.30 ,£36.10 ,£138.70 ,"£1,444.00 "
41,Zones 7-8,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
42,Zones 7-9,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
43,Zone 8 only,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
44,Zones 8-9,£15.30 ,£60.80 ,£233.50 ,"£2,432.00 "
