,0
0,36
1,35
2,36
3,36
4,36
5,36
6,36
7,36
8,35
9,35
10,36
11,36
12,35
13,35
14,35
15,36
16,35
17,36
18,35
19,35
20,35
21,35
22,35
23,36
24,35
25,35
26,35
27,35
28,36
29,35
30,36
31,36
32,35
33,36
34,36
35,35
36,36
37,36
38,35
39,36
40,36
41,36
42,35
43,36
44,36
45,36
46,36
47,36
48,36
49,36
50,36
51,36
52,36
53,36
54,36
55,36
56,36
57,36
58,35
59,36
60,36
61,35
62,35
63,35
64,36
65,36
66,36
67,36
68,36
69,36
70,36
71,36
72,36
73,36
74,36
75,36
76,36
77,36
78,36
79,36
80,36
81,36
82,36
83,35
84,36
85,36
86,36
87,36
88,36
89,36
90,36
91,36
92,36
93,36
94,35
95,36
96,36
97,36
98,36
99,36
100,36
101,36
102,36
103,36
104,36
105,36
106,36
107,36
108,36
109,36
110,36
111,35
112,36
113,35
114,35
115,35
116,35
117,35
118,35
119,36
120,35
121,35
122,35
123,35
124,36
125,35
126,36
127,36
128,36
129,36
130,36
131,35
132,35
133,35
134,35
135,35
136,35
137,35
138,35
139,35
140,35
141,35
142,35
143,35
144,35
145,35
146,35
147,35
148,35
149,35
150,35
151,35
152,35
153,35
154,35
155,35
156,35
157,35
158,36
159,35
160,35
161,35
162,35
163,36
164,35
165,35
166,35
167,35
168,35
169,35
170,35
171,35
172,35
173,35
174,35
175,35
176,35
177,35
178,35
179,35
180,35
181,35
182,35
183,35
184,35
185,35
186,35
187,35
188,35
189,35
190,35
191,36
192,35
193,35
194,35
195,36
196,35
197,35
198,35
199,36
200,35
201,35
202,35
203,36
204,36
205,35
206,36
207,36
208,35
209,36
210,35
211,35
212,35
213,35
214,35
215,35
216,36
217,36
218,36
219,36
220,36
221,35
222,36
223,35
224,36
225,35
226,35
227,35
228,35
229,35
230,35
231,35
232,35
233,35
234,35
235,35
236,35
237,35
238,35
239,35
240,35
241,35
242,35
243,35
244,35
245,35
246,35
247,35
248,35
249,35
250,35
251,35
252,35
253,35
254,35
255,35
256,35
257,35
258,35
259,35
260,35
261,36
262,35
263,36
264,35
265,35
266,35
267,35
268,35
269,35
270,36
271,35
272,35
273,35
274,35
275,35
276,36
277,35
278,35
279,36
280,35
281,36
282,35
283,24
284,69
285,24
286,24
287,24
288,69
289,24
290,69
291,69
292,69
293,69
294,69
295,69
296,24
297,24
298,24
299,69
300,24
301,69
302,69
303,69
304,24
305,24
306,69
307,69
308,24
309,69
310,69
311,24
312,24
313,24
314,69
315,24
316,24
317,24
318,24
319,24
320,24
321,24
322,24
323,24
324,24
325,24
326,24
327,24
328,24
329,24
330,24
331,24
332,24
333,24
334,24
335,24
336,24
337,24
338,24
339,24
340,24
341,24
342,24
343,24
344,24
345,24
346,24
347,24
348,24
349,24
350,24
351,24
352,24
353,24
354,24
355,24
356,24
357,24
358,24
359,24
360,24
361,24
362,69
363,69
364,69
365,69
366,69
367,69
368,69
369,69
370,69
371,69
372,69
373,69
374,69
375,69
376,69
377,69
378,69
379,69
380,69
381,24
382,24
383,24
384,24
385,69
386,102
387,24
388,301
389,24
390,24
391,35
392,35
393,24
394,24
395,24
396,24
397,24
398,24
399,24
400,24
401,24
402,69
403,24
404,69
405,24
406,69
407,69
408,69
409,69
410,69
411,69
412,24
413,24
414,69
415,69
416,24
417,24
418,24
419,24
420,24
421,24
422,24
423,24
424,24
425,69
426,24
427,24
428,24
429,24
430,24
431,24
432,24
433,24
434,24
435,24
436,24
437,24
438,24
439,24
440,24
441,24
442,24
443,69
444,24
445,24
446,24
447,24
448,24
449,24
450,69
451,24
452,24
453,24
454,24
455,24
456,24
457,24
458,24
459,24
460,24
461,24
462,24
463,24
464,69
465,24
466,24
467,24
468,69
469,69
470,24
471,69
472,69
473,69
474,24
475,102
476,102
477,24
478,24
479,24
480,102
481,102
482,69
483,24
484,24
485,102
486,301
487,301
488,24
489,301
490,301
491,301
492,102
493,102
494,102
495,102
496,102
497,24
498,24
499,24
500,24
501,24
502,24
503,24
504,102
505,24
506,35
507,102
508,24
509,301
510,24
511,24
512,24
513,24
514,24
515,24
516,24
517,24
518,24
519,24
520,24
521,24
522,24
523,24
524,24
525,24
526,69
527,24
528,24
529,24
530,24
531,24
532,24
533,35
534,24
535,24
536,24
537,36
538,36
539,36
540,24
541,24
542,24
543,24
544,24
545,36
546,24
547,24
548,24
549,35
550,24
551,102
552,102
553,102
