,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
0,"Abbey Wood station, London, UK",Greenwich,Elizabeth line,ABW,4,1849,C,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°29′29″N 0°07′22″E﻿ / ﻿51.4915°N 0.1229°E"
1,"Acton Central station, London, UK",Ealing,London Overground,ACC,3,1853,D,51°30′32″N 0°15′48″W﻿ / ﻿51.5088°N 0.2634°W
2,"Acton Main Line station, London, UK",Ealing,Elizabeth line,AML,3,1868,E,51°31′01″N 0°16′01″W﻿ / ﻿51.5169°N 0.2669°W
3,"Albany Park station, London, UK",Bexley,Southeastern,AYP,5,1935,D,51°26′09″N 0°07′36″E﻿ / ﻿51.4358°N 0.1266°E
4,"Alexandra Palace station, London, UK",Haringey,Great Northern,AAP,3,1873,D,51°35′54″N 0°07′11″W﻿ / ﻿51.5983°N 0.1197°W
5,"Amersham station, London, UK",Buckinghamshireout-boundary,London Underground,AMR,9,1892,unlisted,51°40′29″N 0°36′32″W﻿ / ﻿51.6747°N 0.6088°W
6,"Anerley station, London, UK",Bromley,London Overground,ANZ,4,1839,E,51°24′45″N 0°03′54″W﻿ / ﻿51.4125°N 0.0651°W
7,"Balham station, London, UK",Wandsworth,Southern,BAL,3,1863,C,51°26′33″N 0°09′07″W﻿ / ﻿51.4426°N 0.1520°W
8,"Banstead station, London, UK",Reigate and Bansteadout-boundary,Southern,BAD,6,1865,F,51°19′45″N 0°12′48″W﻿ / ﻿51.3292°N 0.2132°W
9,"Barking station, London, UK",Barking and Dagenham,c2c,BKG,4,1854,B,51°32′21″N 0°04′54″E﻿ / ﻿51.5393°N 0.0817°E
10,"Barking Riverside station, London, UK",Barking and Dagenham,London Overground,BGV,4,2022,,51°31′09″N 0°06′53″E﻿ / ﻿51.5191°N 0.1147°E
11,"Barnehurst station, London, UK",Bexley,Southeastern,BNH,6,1895,C,51°27′53″N 0°09′34″E﻿ / ﻿51.4648°N 0.1595°E
12,"Barnes station, London, UK",Richmond upon Thames,South Western Railway,BNS,3,1846,C,51°28′02″N 0°14′31″W﻿ / ﻿51.4671°N 0.2420°W
13,"Barnes Bridge station, London, UK",Richmond upon Thames,South Western Railway,BNI,3,1916,C,51°28′20″N 0°15′08″W﻿ / ﻿51.4722°N 0.2523°W
14,"Battersea Park station, London, UK",Wandsworth,Southern,BAK,2,1865,D,51°28′40″N 0°08′52″W﻿ / ﻿51.4779°N 0.1477°W
15,"Beckenham Hill station, London, UK",Lewisham,Thameslink,BEC,4,1892,E,51°25′29″N 0°00′58″W﻿ / ﻿51.4246°N 0.0161°W
16,"Beckenham Junction station, London, UK",Bromley,Southeastern,BKJ,4,1857,C,51°24′39″N 0°01′33″W﻿ / ﻿51.4109°N 0.0257°W
17,"Bellingham station, London, UK",Lewisham,Southeastern,BGM,3,1892,E,51°26′03″N 0°01′12″W﻿ / ﻿51.4342°N 0.0199°W
18,"Belmont station, London, UK",Sutton,Southern,BLM,5,1865,F,51°20′38″N 0°11′55″W﻿ / ﻿51.3440°N 0.1986°W
19,"Belvedere station, London, UK",Bexley,Southeastern,BVD,5,1859,E,51°29′34″N 0°09′09″E﻿ / ﻿51.4927°N 0.1524°E
20,"Berrylands station, London, UK",Kingston upon Thames,South Western Railway,BRS,5,1933,E,51°23′56″N 0°16′49″W﻿ / ﻿51.3988°N 0.2803°W
21,"Bethnal Green station, London, UK",Tower Hamlets,London Overground,BET,2,1872,F,51°31′23″N 0°03′34″W﻿ / ﻿51.5230°N 0.0595°W
22,"Bexley station, London, UK",Bexley,Southeastern,BXY,6,1866,D,51°26′25″N 0°08′52″E﻿ / ﻿51.4403°N 0.1479°E
23,"Bexleyheath station, London, UK",Bexley,Southeastern,BXH,5,1895,C,51°27′49″N 0°08′02″E﻿ / ﻿51.4635°N 0.1338°E
24,"Bickley station, London, UK",Bromley,Southeastern,BKL,5,1858,D,51°23′58″N 0°02′39″E﻿ / ﻿51.3995°N 0.0441°E
25,"Birkbeck station, London, UK",Bromley,Southern,BIK,4,1930,F,51°24′14″N 0°03′24″W﻿ / ﻿51.4039°N 0.0568°W
26,"BlackfriarsLondon station, London, UK",City of London,Thameslink,BFR,1,1886,A,51°30′42″N 0°06′11″W﻿ / ﻿51.5116°N 0.1030°W
27,"Blackheath station, London, UK",Lewisham,Southeastern,BKH,3,1849,C,51°27′59″N 0°00′23″E﻿ / ﻿51.4663°N 0.0064°E
