Borough,mean,median,min
Barking and Dagenham,,,
Barnet,1122.25,1200,800
Bexley,935,900,825
Brent,1369.227273,1404,750
Bromley,1031.818182,1100,700
Camden,2118.474747,1950,1150
City of London,3687.846154,3683,1842
Croydon,1042.857143,1000,800
Ealing,1355.444444,1379.5,850
Enfield,1015.666667,995,800
Greenwich,1494.2,1430,1000
Hackney,1606.611111,1487.5,1000
HammersmithandFulham,1595.4,1582,1192
Haringey,1216.9,1175,800
Harrow,1102.619048,990,750
Havering,895,895,895
Hillingdon,922.08,900,695
Hounslow,1176.533333,1100,675
Islington,2050.411765,1712,1200
KensingtonandChelsea,2445.090909,2275,1387
KingstonuponThames,1024.615385,950,900
Lambeth,1709.166667,1357.5,1000
Lewisham,1215.307692,1179,950
Merton,1418.615385,1499,900
Newham,1784.642857,1716,950
Redbridge,954.2857143,962.5,450
RichmonduponThames,2682.769231,1395,950
Southwark,1745.357143,1387.5,1100
Sutton,883.3333333,900,750
TowerHamlets,2209.136364,1925,1257
WalthamForest,1005,975,870
Wandsworth,2163.105263,2015,995
Westminster,2532.8,2156,1387
