Links,Address,Description,Price,Borough
https://www.rightmove.co.uk/properties/127675271#/?channel=RES_LET,Fetter Lane London EC4A,1 bedroom apartment,"£2,752 pcm",['City of London']
https://www.rightmove.co.uk/properties/127918718#/?channel=RES_LET,"Globe View, High Timber Street, EC4V",2 bedroom apartment,"£2,574 pcm",['City of London']
https://www.rightmove.co.uk/properties/127910855#/?channel=RES_LET,"Sugae Quay, Water Lane, London, EC3R",2 bedroom apartment,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/127909265#/?channel=RES_LET,Aldersgate Street London EC1A,1 bedroom apartment,"£2,250 pcm",['City of London']
https://www.rightmove.co.uk/properties/112329524#/?channel=RES_LET,"Frobisher Crescent, Barbican, EC2Y",Studio apartment,"£1,900 pcm",['City of London']
https://www.rightmove.co.uk/properties/127893389#/?channel=RES_LET,"Lauderdale Tower, Barbican, London",3 bedroom apartment,"£3,748 pcm",['City of London']
https://www.rightmove.co.uk/properties/127887176#/?channel=RES_LET,"Creechurch Lane, London, EC3A",1 bedroom flat,"£2,495 pcm",['City of London']
https://www.rightmove.co.uk/properties/127862489#/?channel=RES_LET,"Upper Thames Street, St Pauls",1 bedroom flat,"£2,145 pcm",['City of London']
https://www.rightmove.co.uk/properties/127850873#/?channel=RES_LET,"5 Little Britain, London, EC1A",2 bedroom flat,"£2,750 pcm",['City of London']
https://www.rightmove.co.uk/properties/127717142#/?channel=RES_LET,"Middlesex Street, London, E1",1 bedroom penthouse,"£2,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/127799261#/?channel=RES_LET,"Aldersgate Court, Bartholomew Close, EC1A",Studio flat,"£1,842 pcm",['City of London']
https://www.rightmove.co.uk/properties/127761236#/?channel=RES_LET,High Timber Street London EC4V,1 bedroom flat,"£2,100 pcm",['City of London']
https://www.rightmove.co.uk/properties/127742927#/?channel=RES_LET,"Barbican, Thomas More House",1 bedroom flat,"£2,817 pcm",['City of London']
https://www.rightmove.co.uk/properties/127736819#/?channel=RES_LET,Essex Street,3 bedroom flat,"£11,265 pcm",['City of London']
https://www.rightmove.co.uk/properties/127893425#/?channel=RES_LET,"Bunyan Court, Barbican, London",1 bedroom apartment,"£1,907 pcm",['City of London']
https://www.rightmove.co.uk/properties/127674269#/?channel=RES_LET,Fetter Lane London EC4A,1 bedroom apartment,"£2,752 pcm",['City of London']
https://www.rightmove.co.uk/properties/127675271#/?channel=RES_LET,Fetter Lane London EC4A,1 bedroom apartment,"£2,752 pcm",['City of London']
https://www.rightmove.co.uk/properties/127667603#/?channel=RES_LET,"Barbican, Willoughby House",2 bedroom flat,"£3,250 pcm",['City of London']
https://www.rightmove.co.uk/properties/127650197#/?channel=RES_LET,"202 bishopsgate, Liverpool Street, Moorgate, Aldgate, Spitafields, London, EC2M 4NR",1 bedroom flat,"£2,600 pcm",['City of London']
https://www.rightmove.co.uk/properties/127628597#/?channel=RES_LET,"The Heron, Moor Lane, London, EC2Y",Studio apartment,"£2,817 pcm",['City of London']
https://www.rightmove.co.uk/properties/127628396#/?channel=RES_LET,"Pepys Street, City Of London, EC3N",1 bedroom apartment,"£2,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/127589591#/?channel=RES_LET,"Hosier Lane, Farringdon, London, EC1A",2 bedroom apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/127560488#/?channel=RES_LET,"Fetter Lane, Chancery Lane, London, EC4A",1 bedroom flat,"£2,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/123819020#/?channel=RES_LET,"Lower Thames Street, City, London, EC3R",2 bedroom flat,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/127175696#/?channel=RES_LET,"Trig Lane, City Of London, EC4V 3QQ",3 bedroom flat,"£6,350 pcm",['City of London']
https://www.rightmove.co.uk/properties/127441175#/?channel=RES_LET,"Wood Street, St Pauls, London, EC2Y",1 bedroom apartment,"£2,817 pcm",['City of London']
https://www.rightmove.co.uk/properties/121118459#/?channel=RES_LET,"Bolt Court, London, EC4A 3DQ, UK",2 bedroom apartment,"£4,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/85511502#/?channel=RES_LET,"Bartholomew Close, London, EC1A 7ES, UK",1 bedroom apartment,"£2,970 pcm",['City of London']
https://www.rightmove.co.uk/properties/127526468#/?channel=RES_LET,"Barbican, Clerkenwell, London, EC2Y",2 bedroom flat,"£2,817 pcm",['City of London']
https://www.rightmove.co.uk/properties/120160403#/?channel=RES_LET,"Golden Lane, London, EC1Y 0AD, UK",1 bedroom apartment,"£4,450 pcm",['City of London']
https://www.rightmove.co.uk/properties/127469771#/?channel=RES_LET,"Bream's Buildings, Chancery Lane, EC4A",2 bedroom apartment,"£4,000 pcm",['City of London']
https://www.rightmove.co.uk/properties/127467620#/?channel=RES_LET,"Widegate Street, City",1 bedroom flat,"£2,297 pcm",['City of London']
https://www.rightmove.co.uk/properties/127459352#/?channel=RES_LET,"Essex Street, London, WC2R",3 bedroom flat,"£11,267 pcm",['City of London']
https://www.rightmove.co.uk/properties/127442354#/?channel=RES_LET,"Aldersgate Street, Barbican",5 bedroom flat,"£12,000 pcm",['City of London']
https://www.rightmove.co.uk/properties/118372052#/?channel=RES_LET,"Botolph Alley, London, EC3R 8DR, UK",1 bedroom apartment,"£3,190 pcm",['City of London']
https://www.rightmove.co.uk/properties/127441175#/?channel=RES_LET,"Wood Street, St Pauls, London, EC2Y",1 bedroom apartment,"£2,817 pcm",['City of London']
https://www.rightmove.co.uk/properties/127439408#/?channel=RES_LET,"Defoe House, EC2Y",1 bedroom penthouse,"£3,000 pcm",['City of London']
https://www.rightmove.co.uk/properties/127439411#/?channel=RES_LET,"College Hill, EC4R",1 bedroom apartment,"£2,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/117388061#/?channel=RES_LET,"Botolph Alley, London, EC3R 8DR, UK",Studio apartment,"£2,470 pcm",['City of London']
https://www.rightmove.co.uk/properties/127375838#/?channel=RES_LET,"West Smithfield, Clerkenwell, London, EC1A",1 bedroom flat,"£3,034 pcm",['City of London']
https://www.rightmove.co.uk/properties/127375832#/?channel=RES_LET,"West Smithfield, Farringdon, London, EC1A",1 bedroom flat,"£3,034 pcm",['City of London']
https://www.rightmove.co.uk/properties/127209200#/?channel=RES_LET,"Fleet Street, London, EC4Y 1AA, UK",2 bedroom apartment,"£5,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/127124966#/?channel=RES_LET,"West Smithfield, Farringdon",1 bedroom flat,"£2,448 pcm",['City of London']
https://www.rightmove.co.uk/properties/124516010#/?channel=RES_LET,"Widegate Street, London E1",2 bedroom flat,"£4,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/127078226#/?channel=RES_LET,"202 Bishopsgate, London, EC2M",1 bedroom apartment,"£2,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/127076603#/?channel=RES_LET,"Cheval Calico House, London, EC4M",1 bedroom flat,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/127074977#/?channel=RES_LET,"Three Quays Apartments, Lower Thames Street, London, EC3R",2 bedroom flat,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/127053857#/?channel=RES_LET,"Essex Street, Strand",3 bedroom flat,"£11,267 pcm",['City of London']
https://www.rightmove.co.uk/properties/127046669#/?channel=RES_LET,"Essex Street, Temple, London, WC2R",3 bedroom apartment,"£11,267 pcm",['City of London']
https://www.rightmove.co.uk/properties/127046489#/?channel=RES_LET,"St Dunstans House, 133-137 Fetter Lane, London, EC4A",2 bedroom apartment,"£4,500 pcm",['City of London']
https://www.rightmove.co.uk/properties/127850873#/?channel=RES_LET,"5 Little Britain, London, EC1A",2 bedroom flat,"£2,750 pcm",['City of London']
https://www.rightmove.co.uk/properties/117132368#/?channel=RES_LET,"Botolph Alley, London, EC3R 8DR, UK",1 bedroom apartment,"£3,580 pcm",['City of London']
https://www.rightmove.co.uk/properties/127040579#/?channel=RES_LET,"Essex Street, Covent Garden, WC2R",3 bedroom apartment,"£11,267 pcm",['City of London']
https://www.rightmove.co.uk/properties/127040576#/?channel=RES_LET,"Essex Street, London, WC2R",3 bedroom apartment,"£13,433 pcm",['City of London']
https://www.rightmove.co.uk/properties/81948654#/?channel=RES_LET,"Fann Street, London, EC2Y 8AF, UK",1 bedroom apartment,"£3,630 pcm",['City of London']
https://www.rightmove.co.uk/properties/126984074#/?channel=RES_LET,"Barbican, Willoughby House",1 bedroom flat,"£2,383 pcm",['City of London']
https://www.rightmove.co.uk/properties/126966332#/?channel=RES_LET,"Goswell Road, Clerkenwell",1 bedroom flat,"£2,492 pcm",['City of London']
https://www.rightmove.co.uk/properties/126769439#/?channel=RES_LET,"St.Dunstans House, Westminster",1 bedroom apartment,"£3,012 pcm",['City of London']
https://www.rightmove.co.uk/properties/81948690#/?channel=RES_LET,"Pepys Street, London, EC3N 2NU, UK",1 bedroom apartment,"£3,550 pcm",['City of London']
https://www.rightmove.co.uk/properties/126613016#/?channel=RES_LET,"Barbican, London, EC2Y",2 bedroom apartment,"£4,008 pcm",['City of London']
https://www.rightmove.co.uk/properties/85473174#/?channel=RES_LET,"Cheval Three Quays, 40 Lower Thames St, EC3R",1 bedroom apartment,"£4,983 pcm",['City of London']
https://www.rightmove.co.uk/properties/120763448#/?channel=RES_LET,"Cheval Three Quays, 40 Lower Thames St, EC3R",1 bedroom apartment,"£4,550 pcm",['City of London']
https://www.rightmove.co.uk/properties/126582494#/?channel=RES_LET,"Roman House, Wood Street, EC2Y",3 bedroom flat,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/126067691#/?channel=RES_LET,"Aldersgate Street, Barbican, London, EC1A",5 bedroom house,"£12,000 pcm",['City of London']
https://www.rightmove.co.uk/properties/125716346#/?channel=RES_LET,"St. Mary At Hill, London, EC3R",1 bedroom penthouse,"£5,250 pcm",['City of London']
https://www.rightmove.co.uk/properties/115740992#/?channel=RES_LET,"Cheval Three Quays, 40 Lower Thames St, EC3R",2 bedroom apartment,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/125583353#/?channel=RES_LET,"St. Mary At Hill, London, EC3R",1 bedroom flat,"£4,650 pcm",['City of London']
https://www.rightmove.co.uk/properties/125583848#/?channel=RES_LET,"St. Mary At Hill, London, EC3R",2 bedroom flat,"£6,900 pcm",['City of London']
https://www.rightmove.co.uk/properties/125571296#/?channel=RES_LET,"Bishopsgate, London, EC2M",1 bedroom flat,"£3,900 pcm",['City of London']
https://www.rightmove.co.uk/properties/125570975#/?channel=RES_LET,"Bishopsgate, London, EC2M",1 bedroom flat,"£3,450 pcm",['City of London']
https://www.rightmove.co.uk/properties/126246572#/?channel=RES_LET,"Lower Thames Street, Tower Hill, London, EC3R",2 bedroom apartment,"£8,450 pcm",['City of London']
https://www.rightmove.co.uk/properties/126246569#/?channel=RES_LET,"Lower Thames Street, Tower Hill, London, EC3R",2 bedroom apartment,"£8,883 pcm",['City of London']
https://www.rightmove.co.uk/properties/125401010#/?channel=RES_LET,"Petticoat Square, City, London, E1",1 bedroom flat,"£2,750 pcm",['City of London']
https://www.rightmove.co.uk/properties/127076321#/?channel=RES_LET,"Cheval Calico House, London, EC4M",1 bedroom flat,"£4,550 pcm",['City of London']
https://www.rightmove.co.uk/properties/127073948#/?channel=RES_LET,"Three Quays Apartments, Lower Thames Street, London, EC3R",2 bedroom flat,"£8,233 pcm",['City of London']
https://www.rightmove.co.uk/properties/127674269#/?channel=RES_LET,Fetter Lane London EC4A,1 bedroom apartment,"£2,752 pcm",['City of London']
https://www.rightmove.co.uk/properties/125164862#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£4,117 pcm",['City of London']
https://www.rightmove.co.uk/properties/125027900#/?channel=RES_LET,"Cousin Lane, London, EC4R",2 bedroom apartment,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/125027468#/?channel=RES_LET,"Lower Thames Street, London, EC3R",1 bedroom apartment,"£6,067 pcm",['City of London']
https://www.rightmove.co.uk/properties/124986497#/?channel=RES_LET,"Upper Thames Street, London, EC4R",2 bedroom apartment,"£6,933 pcm",['City of London']
https://www.rightmove.co.uk/properties/124985645#/?channel=RES_LET,"College Hill, London, EC4R",1 bedroom apartment,"£5,200 pcm",['City of London']
https://www.rightmove.co.uk/properties/124984733#/?channel=RES_LET,"College Hill, London, EC4R",Studio flat,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925613#/?channel=RES_LET,Bow Lane London EC4M,Studio flat,"£4,117 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925436#/?channel=RES_LET,Lower Thames Street London EC3R,1 bedroom apartment,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925268#/?channel=RES_LET,Lower Thames Street London EC3R,1 bedroom apartment,"£6,067 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925169#/?channel=RES_LET,Lower Thames Street London EC3R,Studio apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/127861310#/?channel=RES_LET,"Abbott's Chambers, 202 Bishopsgate, London, EC2M 4NR",1 bedroom flat,"£2,600 pcm",['City of London']
https://www.rightmove.co.uk/properties/123674876#/?channel=RES_LET,"Three Quays Apartments, 40 Lower Thames Street, London, EC3R",2 bedroom apartment,"£9,533 pcm",['City of London']
https://www.rightmove.co.uk/properties/123649199#/?channel=RES_LET,"Lower Thames Street, London, EC3R",1 bedroom flat,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/123646064#/?channel=RES_LET,"Calico House, 42 Bow Lane, London, EC4M",Studio apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/123279071#/?channel=RES_LET,"Minories, London, EC3N",1 bedroom apartment,"£3,033 pcm",['City of London']
https://www.rightmove.co.uk/properties/84868017#/?channel=RES_LET,"Fann Street, Barbican",3 bedroom flat,"£5,750 pcm",['City of London']
https://www.rightmove.co.uk/properties/85134273#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£5,157 pcm",['City of London']
https://www.rightmove.co.uk/properties/123059714#/?channel=RES_LET,"College Hill, London, EC4R",1 bedroom flat,"£3,900 pcm",['City of London']
