from zone,to zone,Monthly
1,1,147.5
1,2,147.5
1,3,173.6
1,4,212
1,5,252.3
1,6,270
1,7,293.8
1,8,346.8
1,9,384.8
2,1,147.5
2,2,110.6
2,3,110.6
2,4,122.5
2,5,146.7
2,6,184.8
2,7,191.7
2,8,260.8
2,9,260.8
3,1,173.6
3,2,110.6
3,3,110.6
3,4,110.6
3,5,122.5
3,6,146.7
3,7,191.7
3,8,260.8
3,9,260.8
4,1,212
4,2,122.5
4,3,110.6
4,4,110.6
4,5,110.6
4,6,122.5
4,7,138.7
4,8,233.5
4,9,233.5
5,1,252.3
5,2,146.7
5,3,122.5
5,4,110.6
5,5,110.6
5,6,110.6
5,7,138.7
5,8,233.5
5,9,233.5
6,1,270
6,2,184.8
6,3,146.7
6,4,122.5
6,5,110.6
6,6,110.6
6,7,138.7
6,8,233.5
6,9,233.5
7,1,293.8
7,2,191.7
7,3,191.7
7,4,138.7
7,5,138.7
7,6,138.7
7,7,138.7
7,8,233.5
7,9,233.5
8,1,346.8
8,2,260.8
8,3,260.8
8,4,233.5
8,5,233.5
8,6,233.5
8,7,233.5
8,8,233.5
8,9,233.5
