Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,latitude,longitude
"Abbey Wood station, London, UK",Greenwich,Elizabeth line,ABW,4,1849,C, _51.4915 ,0.1229
"Acton Central station, London, UK",Ealing,London Overground,ACC,3,1853,D, _51.5088 ,-0.2634
"Acton Main Line station, London, UK",Ealing,Elizabeth line,AML,3,1868,E, _51.5169 ,-0.2669
"Albany Park station, London, UK",Bexley,Southeastern,AYP,5,1935,D, _51.4358 ,0.1266
"Alexandra Palace station, London, UK",Haringey,Great Northern,AAP,3,1873,D, _51.5983 ,-0.1197
"Amersham station, London, UK",Buckinghamshireout-boundary,London Underground,AMR,9,1892,unlisted, _51.6747 ,-0.6088
"Anerley station, London, UK",Bromley,London Overground,ANZ,4,1839,E, _51.4125 ,-0.0651
"Balham station, London, UK",Wandsworth,Southern,BAL,3,1863,C, _51.4426 ,-0.1520
"Banstead station, London, UK",Reigate and Bansteadout-boundary,Southern,BAD,6,1865,F, _51.3292 ,-0.2132
"Barking station, London, UK",Barking and Dagenham,c2c,BKG,4,1854,B, _51.5393 ,0.0817
"Barking Riverside station, London, UK",Barking and Dagenham,London Overground,BGV,4,2022,, _51.5191 ,0.1147
"Barnehurst station, London, UK",Bexley,Southeastern,BNH,6,1895,C, _51.4648 ,0.1595
"Barnes station, London, UK",Richmond upon Thames,South Western Railway,BNS,3,1846,C, _51.4671 ,-0.2420
"Barnes Bridge station, London, UK",Richmond upon Thames,South Western Railway,BNI,3,1916,C, _51.4722 ,-0.2523
"Battersea Park station, London, UK",Wandsworth,Southern,BAK,2,1865,D, _51.4779 ,-0.1477
"Beckenham Hill station, London, UK",Lewisham,Thameslink,BEC,4,1892,E, _51.4246 ,-0.0161
"Beckenham Junction station, London, UK",Bromley,Southeastern,BKJ,4,1857,C, _51.4109 ,-0.0257
"Bellingham station, London, UK",Lewisham,Southeastern,BGM,3,1892,E, _51.4342 ,-0.0199
"Belmont station, London, UK",Sutton,Southern,BLM,5,1865,F, _51.3440 ,-0.1986
"Belvedere station, London, UK",Bexley,Southeastern,BVD,5,1859,E, _51.4927 ,0.1524
"Berrylands station, London, UK",Kingston upon Thames,South Western Railway,BRS,5,1933,E, _51.3988 ,-0.2803
"Bethnal Green station, London, UK",Tower Hamlets,London Overground,BET,2,1872,F, _51.5230 ,-0.0595
"Bexley station, London, UK",Bexley,Southeastern,BXY,6,1866,D, _51.4403 ,0.1479
"Bexleyheath station, London, UK",Bexley,Southeastern,BXH,5,1895,C, _51.4635 ,0.1338
